,Date,Open,High,Low,Close,Volume,log_return,future_vol_10,return_5d,return_10d,return_20d,vol_5,vol_10,vol_20,hl_range,oc_range,vol_change,vol_ratio,future_vol_5,future_vol_20
0,2015-01-30,165.67338811674696,166.99500099265984,164.4839277056571,164.7482452392578,197729700.0,-0.0126548622050709,0.0072032743558505,-0.0273002000934068,0.0021578444104652,-0.0300775821593643,0.0105371215825243,0.0107521719629002,0.010603715718797,0.0152418818382921,-0.0055841368852625,0.1390917669343159,1.2422134589977214,0.008649099008800292,0.005786974261534869
1,2015-02-02,165.24390342208943,166.87940563546837,163.4349329327051,166.78854370117188,163107000.0,0.0123082824448324,0.0067893988313043,-0.0173309753435298,0.0014371768700428,-0.0172338635559164,0.0130300997173606,0.0106587584112049,0.0110451866713454,0.0206517343837152,0.0093476385336704,-0.1751011608271291,1.0114701434858584,0.008857507086865163,0.005564708455334883
2,2015-02-03,167.68062446617702,169.20875342530874,167.30892116918625,169.2004852294922,124212900.0,0.0143575102354274,0.0057908634113154,0.0103046778846426,0.0136642879459765,0.0153485182490358,0.0136729502797715,0.0115739983901946,0.0107482934556297,0.0112282908263867,0.0090640213689193,-0.2384575769280288,0.781280181439453,0.007700645944111073,0.0049502065606969615
3,2015-02-04,168.44057206127013,169.64655660572535,168.10190370106497,168.55621337890625,134306700.0,-0.0038150102405127,0.0054872314022424,0.0193969774508548,0.0048138128830008,0.0209970686876075,0.0116376830223666,0.0116006194415202,0.0105374539027906,0.0091640223382811,0.0006865407557156,0.0812620911354617,0.8651321996802005,0.0071114718203550914,0.004802819476293561
4,2015-02-05,169.21701022264207,170.40647086465165,169.14267208350574,170.25778198242188,97953200.0,0.0100443484187478,0.0050274190488881,0.020240268653424,9.70649939624011e-05,0.0186573536398355,0.0117397508234988,0.0110377365386921,0.0104173025854034,0.0074228547231772,0.0061505150008881,-0.2706752529844006,0.6365786758894231,0.006992980914402078,0.005541544093399329
5,2015-02-06,170.6212406255758,171.18293601095024,169.26657983067707,169.78697204589844,125672000.0,-0.0027691074883044,0.0047870832214214,0.0301260233701905,0.0028258232767836,-0.0017012328834647,0.0086490990088002,0.0109195466621651,0.0096720486756435,0.0112868269996305,-0.0048895939135043,0.2829800353638267,0.8224759660142921,0.006289651856613121,0.005553148713672289
6,2015-02-09,169.14271042465256,169.8613378071158,168.62231812482196,169.02706909179688,87219000.0,-0.0044856714068428,0.0040692472124104,0.0133320695185153,-0.0039989058250144,0.0018589385570004,0.0088575070868651,0.0109897829003634,0.0095498128225834,0.0073303032996504,-0.0006836909055398,-0.3059790565917627,0.5844611887220481,0.004579637482767315,0.006658398383714773
7,2015-02-10,170.05952712324256,171.0837749758462,169.06830163446324,170.8277130126953,96164200.0,0.0105966481276784,0.0033880462224812,0.0095712074107663,0.0198758852954089,0.020319991227394,0.007700645944111,0.0104618453180659,0.009632039045114,0.0117982808868558,0.0045171587999068,0.1025602219699837,0.6549884564688728,0.003891295761540794,0.006195903549722545
8,2015-02-11,170.6625165467923,171.35636432033186,170.0182275279404,170.9268341064453,91087800.0,0.0005800718519472,0.0035305327645042,0.0139662895032262,0.033363266954081,0.0237168358516956,0.007111471820355,0.0091103361779756,0.0095907584593904,0.0078287110352615,0.001548773362782,-0.0527888756938652,0.6476438869426357,0.004142793161791478,0.006863081664568579
9,2015-02-12,171.719840560346,172.62845989396322,170.9599101194834,172.5706329345703,97545900.0,0.0095710247330142,0.0028009922659699,0.0134929658174926,0.0337332344709166,0.0393433741161978,0.006992980914402,0.0091375096012967,0.0096062888935196,0.0096687932709411,0.0049545374107503,0.0708997253199659,0.7179216564042977,0.0027958697514282936,0.006609784187507561
