Price,Open,High,Low,Close,Volume,log_return,future_vol_5,future_vol_10,future_vol_20
Ticker,SPY,SPY,SPY,SPY,SPY,,,,
Date,,,,,,,,,
2015-01-02,170.47258874432092,170.88559529706598,168.65534982907482,169.6878662109375,121465900,-0.0005354361586155747,0.015350554584741244,0.011903443131834834,0.011045186671345493
2015-01-05,168.6470660413276,168.8122661140158,166.3177160273211,166.6233367919922,169632600,-0.018224871569524938,0.012987173633602767,0.01044667620865302,0.010748293455629838
2015-01-06,166.9289650053605,167.44935723130908,164.26094653071848,165.05392456054688,209151400,-0.009463560679084439,0.011958016166013297,0.009955948561622865,0.010537453902790643
2015-01-07,166.3755210016873,167.44934031956146,165.9294795701786,167.1106719970703,125346700,0.012384063466519839,0.010842389780090387,0.010265121569350987,0.010417302585403514
2015-01-08,168.51490105817123,170.2908365016817,168.49838987366132,170.07606506347656,147217800,0.017589479034995928,0.0024938787223978054,0.008829182990582711,0.009672048675643613
2015-01-09,170.4890728778248,170.5055966664213,168.10189588592164,168.71315002441406,158567300,-0.008045842847308025,0.009049280063792037,0.00843895625441205,0.009549812822583464
2015-01-12,168.8453161791333,169.00226066188512,166.7885393225758,167.3915252685547,144396100,-0.007864404542715232,0.008687387369838736,0.009182203666584458,0.00963203904511405
2015-01-13,168.60574554907672,169.72912357347792,165.62383853897953,166.92068481445312,214553300,-0.002816772772354436,0.00889002614992715,0.010045422256895642,0.009590758459390473
2015-01-14,164.91346747166824,166.1111962382504,164.02138464722543,165.91294860839844,192991100,-0.006055513531488094,0.00961220980122008,0.010340550067341235,0.009606288893519652
2015-01-15,166.54902209394717,166.86289849504993,164.2774861138506,164.39312744140625,176613900,-0.009202566970254953,0.00827963252991852,0.01075217196290024,0.009246041692356755
2015-01-16,164.18661346110187,166.70595572276284,164.0048895862307,166.54901123046875,211879600,0.013028949985254862,0.007297833277762193,0.010658758411204993,0.008917093024756588
2015-01-20,167.1850467519091,167.44937699436866,165.34304106412313,166.90420532226562,130991100,0.0021303991594937206,0.010641842820989563,0.011573998390194646,0.008927853419915938
2015-01-21,166.4416627451499,168.22585431367148,165.9790973615987,167.74676513671875,122942700,0.005035464822463009,0.011768195201105863,0.011600619441520308,0.00891610504056001
2015-01-22,168.49836906255456,170.37340919341256,167.12718468012818,170.2412567138672,174356000,0.014761096307786234,0.009773883182777072,0.011037736538692174,0.00844120307666942
2015-01-23,169.98518533689273,170.24125991747914,169.17569624213647,169.307861328125,117516800,-0.005497865771125677,0.010537121582524414,0.010919546662165233,0.008300255934043401
2015-01-26,169.09310423115286,169.795207625169,168.3827326417059,169.704345703125,92009700,0.0023390576949553986,0.013030099717360664,0.010989782900363511,0.00830364928731057
2015-01-27,167.6558608098982,168.60577072506626,166.63986834178553,167.46588134765625,134044600,-0.013278142992745011,0.013672950279771648,0.010461845318066007,0.007570239348023895
2015-01-28,168.64706860560267,168.74618612993115,165.1282578484053,165.3182373046875,168514300,-0.012907309806724911,0.011637683022366662,0.009110336177975712,0.006753050193850573
2015-01-29,165.51647790768044,167.1024212491774,164.11224581839372,166.8463592529297,173585400,0.009201057216178631,0.011739750823498905,0.009137509601296789,0.006705907319225581
2015-01-30,165.67338811674696,166.99500099265984,164.4839277056571,164.7482452392578,197729700,-0.012654862205070989,0.008649099008800351,0.007203274355850538,0.005786974261534913
2015-02-02,165.24390342208943,166.87940563546837,163.4349329327051,166.78854370117188,163107000,0.012308282444832426,0.008857507086865222,0.0067893988313043885,0.00556470845533493
2015-02-03,167.68062446617702,169.20875342530874,167.30892116918625,169.2004852294922,124212900,0.014357510235427475,0.007700645944111136,0.005790863411315492,0.004950206560697005
2015-02-04,168.44057206127013,169.64655660572535,168.10190370106497,168.55621337890625,134306700,-0.003815010240512738,0.007111471820355146,0.005487231402242449,0.004802819476293604
2015-02-05,169.21701022264207,170.40647086465165,169.14267208350574,170.25778198242188,97953200,0.01004434841874788,0.0069929809144021185,0.005027419048888175,0.005541544093399359
2015-02-06,170.6212406255758,171.18293601095024,169.26657983067707,169.78697204589844,125672000,-0.0027691074883044635,0.006289651856613144,0.004787083221421419,0.005553148713672318
2015-02-09,169.14271042465256,169.8613378071158,168.62231812482196,169.02706909179688,87219000,-0.004485671406842811,0.004579637482767312,0.004069247212410464,0.006658398383714805
2015-02-10,170.05952712324256,171.0837749758462,169.06830163446324,170.8277130126953,96164200,0.010596648127678479,0.0038912957615407965,0.0033880462224812682,0.006195903549722573
2015-02-11,170.6625165467923,171.35636432033186,170.0182275279404,170.9268341064453,91087800,0.0005800718519472434,0.004142793161791505,0.0035305327645042354,0.006863081664568609
2015-02-12,171.719840560346,172.62845989396322,170.9599101194834,172.5706329345703,97545900,0.009571024733014227,0.0027958697514283266,0.0028009922659699817,0.006609784187507592
2015-02-13,172.69454368851316,173.33056462266381,172.43846907159076,173.281005859375,93670400,0.0041079691064516925,0.002719141728696717,0.003148941738919482,0.007250466750969645
2015-02-17,172.9671293090362,173.72707241390395,172.71933547479566,173.55360412597656,76968200,0.0015719211110111653,0.002801497966581345,0.003533418230994461,0.0072604301201988995
2015-02-18,173.1818717963169,173.64443701478808,172.91754161207228,173.57009887695312,80652900,9.503673097672361e-05,0.0029569659489801664,0.003836622648483866,0.0077782485835671605
2015-02-19,172.9753918948121,173.80966051892923,172.83497119197804,173.4462127685547,91462500,-0.00071400743713827,0.0030476113915119426,0.003839318418038197,0.007846468727123662
2015-02-20,173.03325388638092,174.56138345641074,172.41374394241674,174.48704528808594,140896400,0.005982961388234703,0.002253635246120847,0.005437527118027284,0.007985039519226696
2015-02-23,174.23920742827661,174.4622344970703,173.85923585195994,174.4622344970703,74411100,-0.0001422028500687511,0.0038308550581616302,0.005741085320734411,0.007997269442052654
2015-02-24,174.38785846833633,175.1560571033271,174.090493287688,174.9578094482422,72472300,0.002836558989931046,0.004127798540934074,0.007204202380444074,0.008059625734840934
2015-02-25,174.8339377101534,175.31302682594247,174.4704899254886,174.8091583251953,73061700,-0.0008500009760396869,0.004432699095218544,0.0071636368274715975,0.008669798956309056
2015-02-26,174.7182261234912,174.87517056775698,173.99958643679824,174.6025848388672,72697900,-0.0011824073714571664,0.004566104336337512,0.008791877200345688,0.008673950080653277
2015-02-27,174.50347369283446,174.76780386009438,173.95831477978405,174.00787353515625,108076000,-0.003411899249420044,0.007591084290149094,0.008881376404549744,0.00869255938186765
2015-03-02,174.1070098663145,175.16430544173227,174.05745110558516,175.1064910888672,87491400,0.00629376096498225,0.0069644867286560675,0.009854154322183582,0.009039579181193962
2015-03-03,174.67698803921306,175.15607714083993,173.52883035557673,174.38787841796875,110325800,-0.004112304782592652,0.00908343733672194,0.009828776953186489,0.009192053283613841
2015-03-04,173.79320701450573,173.86755779639384,172.6863521299743,173.6527862548828,114497200,-0.00422418027985431,0.009208351474054141,0.010630280598820702,0.009180338335529517
2015-03-05,173.97484964121526,174.12353853152536,173.33882872209776,173.8426971435547,76873000,0.0010930266242422195,0.01223224936875054,0.010722569460783395,0.009225279769055027
2015-03-06,172.98366399574914,173.41319434208773,171.067320134475,171.39772033691406,188128000,-0.0141641450957406,0.010891106536159864,0.009886432223924439,0.008797692852080999
2015-03-09,171.5959539499552,172.46325756122909,171.4390094552801,172.1080780029297,89818900,0.004135934135961849,0.012711565176245027,0.009916549102179711,0.008772868241893467
2015-03-10,170.74514307546252,170.82773680839537,169.27482842335175,169.31613159179688,157121300,-0.01635507129737165,0.00930413527105324,0.008242534509333616,0.007907982309195654
2015-03-11,169.57223785067123,169.7457061618348,168.8370866347127,168.91969299316406,110145700,-0.0023441560671897295,0.009489270640971171,0.00980719677532299,0.007904238664372985
2015-03-12,169.54738756835224,171.13333067656885,169.49782881558852,171.0672607421875,93993500,0.012633404244032961,0.009486618582852036,0.008950369292064454,0.007514901728591803
2015-03-13,170.79474969819526,171.75291541326115,168.98577880740035,170.01829528808594,162410900,-0.006150766237889445,0.008454231229827684,0.0087478307618124,0.0074430832901169345
2015-03-16,170.74513950639326,172.380641590183,170.0430234693745,172.28977966308594,136099200,0.013271774069767428,0.007555382183913642,0.008566156266933384,0.006869317722951403
2015-03-17,171.5546219127697,172.15760780310515,170.96814720565243,171.77764892578125,94510400,-0.0029769229689458995,0.008089523008426896,0.008997265090976276,0.0068763562149846205
2015-03-18,171.30683124757832,174.51176564005567,170.67079772450302,173.8426971435547,228808500,0.011949949217375102,0.008453816033477972,0.007924818510005526,0.006358139909668763
2015-03-19,173.42971522233455,173.8509773639673,172.66151648881646,173.04974365234375,117917300,-0.004571762189562271,0.008449268409863585,0.008032093036659553,0.0068110993095969125
2015-03-20,173.9964219067773,175.08332706439776,173.813886863184,174.57720947265625,177715100,0.00878801621672815,0.006396179558329892,0.00777270516635766,0.006832665148657003
2015-03-23,174.58551785943564,175.15801303387462,174.23704528808594,174.23704528808594,71784500,-0.001950403618899053,0.009920068061792537,0.007783005952440944,0.006824154261948707
2015-03-24,174.112585767895,174.56891073329592,173.1916180726312,173.25799560546875,77805300,-0.005634913641842264,0.010325054881496662,0.00774712667700805,0.00678059602511192
2015-03-25,173.46537261303482,173.69768758352507,170.67758030693514,170.71905517578125,159521700,-0.014762534497812695,0.0078665151512696,0.005966552061464488,0.005767899010677974
2015-03-26,170.05537123840853,171.2252389858429,169.3584133966899,170.3125762939453,153067200,-0.002383820366293808,0.00787870852443334,0.005911385759473319,0.005705532960846419
2015-03-27,170.19635140623822,170.87669876838024,170.00551130618186,170.7024688720703,118939000,0.0022866600963300674,0.008278359352949368,0.006293787734182707,0.0058413760496771015
2015-03-30,171.73129641311075,173.08371141679822,171.7147115290507,172.78501892089844,96180400,0.012126063633776794,0.006127326526760594,0.005117306175441642,0.005276360541543346
2015-03-31,171.96370781276786,172.66066580079868,171.21698248443536,171.27505493164062,126768700,-0.008777383941224074,0.004406462421127268,0.004019061079436271,0.004924473987919688
2015-04-01,171.24186786965754,171.26675786924955,169.68202704069807,170.66937255859375,137303600,-0.0035425815295732346,0.0034688830632059807,0.0036415118698082502,0.005431204167269413
2015-04-02,170.60296489926685,171.73135776912642,170.42042982765565,171.2833251953125,86900900,0.0035908668097081615,0.003631045308677055,0.005631301796646776,0.0058564826989567585
2015-04-06,170.39548636758687,172.950963908092,170.26274398824668,172.43655395507812,114368200,0.006710307765345428,0.004492497831996638,0.005954111641357345,0.005721214025372804
2015-04-07,172.4614980599821,173.20822323643148,171.94708794554901,171.9802703857422,81236300,-0.0026496024818185677,0.003942566729430825,0.0058730481324483896,0.006317841520790134
