Price,Open,High,Low,Close,Volume,log_return,future_vol_10,return_5d,return_10d,return_20d,vol_5,vol_10,vol_20,hl_range,oc_range,vol_change,vol_ratio
2015-01-30,165.67343415017112,166.99504739330268,164.48397340858196,164.748291015625,197729700.0,-0.0126544014403497,0.0072031431204354,-0.027299922236967297,0.0021581222669046947,-0.030076854930058503,0.010537031645540231,0.01075216769458507,0.010603751917306439,0.015241881838292148,-0.0055841368852627415,0.1390917669343159,1.2422134589977214
2015-02-02,165.24390342208943,166.87940563546837,163.4349329327051,166.78854370117188,163107000.0,0.0123080045883929,0.0067892875909379,-0.0173312450853611,0.0014371768700427948,-0.0172338635559166,0.013029902218311008,0.0106587190801097,0.011045201061546536,0.02065173438371521,0.009347638533670462,-0.17510116082712912,1.0114701434858584
2015-02-03,167.68056397927535,169.20869238716992,167.30886081636794,169.20042419433594,124212900.0,0.014357149508523,0.0057908188558087,0.010304408273550199,0.013664110063961295,0.015348065945593094,0.013672607012275113,0.011573918522421676,0.010748292754927183,0.011228290826386572,0.009064021368919286,-0.23845757692802882,0.781280181439453
2015-02-04,168.4405873095906,169.64657196321926,168.101918918727,168.5562286376953,134306700.0,-0.0038145589872012,0.0054872181974955,0.019396975677775596,0.004814358225705594,0.020997436555941697,0.011637281808006038,0.011600531543204246,0.010537423488949217,0.009164022338281147,0.0006865407557156548,0.08126209113546179,0.8651321996802005
2015-02-05,169.21707088469543,170.40653195311086,169.14273271890988,170.25784301757812,97953200.0,0.010044616379011,0.0050273065504955,0.020240810048376,9.742348063279498e-05,0.018657438198094095,0.011739417521292877,0.011037606276098547,0.010417252479054692,0.007422854723177093,0.006150515000888274,-0.27067525298440065,0.6365786758894231
2015-02-06,170.6212406255758,171.18293601095024,169.26657983067707,169.78697204589844,125672000.0,-0.0027694659749744,0.0047868952718108,0.0301257455137513,0.0028258232767839953,-0.0017013226009000063,0.008648955582337609,0.0109194251269065,0.009672018130156581,0.011286826999630581,-0.004889593913504316,0.28298003536382677,0.8224759660142921
2015-02-09,169.14272569388106,169.86135314121785,168.62233334707244,169.02708435058594,87219000.0,-0.0044855811326136,0.0040690485797714,0.013332159792744798,-0.003999085292616306,0.0018587575046557928,0.008857398085983818,0.010989650942597509,0.009549787842189874,0.007330303299650516,-0.0006836909055398263,-0.3059790565917627,0.5844611887220481
2015-02-10,170.05954231341522,171.08379025750745,169.068316736097,170.82772827148438,96164200.0,0.0105966471761248,0.0033877799290242,0.0095716574603466,0.019876065733896796,0.020319989393791992,0.007700668224572545,0.010461652657011749,0.00963200639856493,0.011798280886855835,0.004517158799906725,0.10256022196998371,0.6549884564688728
2015-02-11,170.66256225237188,171.35641021173268,170.01827306097127,170.9268798828125,91087800.0,0.0005802503418787,0.0035302672085031,0.0139664667894265,0.03336344246720209,0.02371692083749879,0.007111572980076016,0.00911014230403691,0.00959072709431617,0.007828711035261622,0.0015487733627820995,-0.052788875693865256,0.6476438869426357
2015-02-12,171.71982537678446,172.62844463006107,170.95989500311532,172.57061767578125,97545900.0,0.0095706684998601,0.0028007171664831,0.0134925189102756,0.033733328958651596,0.039343101758378095,0.006992926496534,0.009137308880683261,0.009606242423578305,0.009668793270941126,0.0049545374107503376,0.07089972531996591,0.7179216564042977
2015-02-13,172.69452848136683,173.3305493595107,172.43845388699384,173.28099060058594,93670400.0,0.0041079694689355,0.0031485787389138,0.0203699543541855,0.05049569986793679,0.052653822134841495,0.00628951827538054,0.0072031431204354224,0.00924598205461328,0.005148259306603103,0.003395950783017332,-0.03973001428045664,0.7111032833822166
