iter	Passed	Remaining
420	2168	2982
421	2173	2977
422	2178	2971
423	2183	2965
424	2187	2960
425	2192	2954
426	2197	2948
427	2201	2942
428	2206	2937
429	2211	2931
430	2216	2926
431	2223	2923
432	2228	2918
433	2234	2914
434	2239	2909
435	2245	2904
436	2250	2899
437	2256	2895
438	2261	2889
439	2266	2884
440	2272	2880
441	2277	2875
442	2282	2870
443	2288	2866
444	2294	2861
445	2299	2856
446	2304	2851
447	2309	2846
448	2314	2840
449	2320	2836
450	2325	2830
451	2330	2825
452	2336	2821
453	2341	2816
454	2346	2810
455	2351	2805
456	2356	2800
457	2361	2795
458	2367	2790
459	2373	2785
460	2378	2780
461	2383	2775
462	2388	2770
463	2394	2765
464	2400	2761
465	2411	2762
466	2416	2757
467	2421	2752
468	2426	2747
469	2432	2742
470	2437	2737
471	2442	2732
472	2448	2727
473	2453	2722
474	2458	2717
475	2463	2712
476	2469	2707
477	2474	2702
478	2479	2697
479	2484	2692
480	2490	2686
481	2495	2681
482	2500	2676
483	2505	2671
484	2510	2666
485	2516	2661
486	2521	2655
487	2525	2650
488	2531	2645
489	2536	2640
490	2541	2634
491	2547	2630
492	2552	2624
493	2557	2619
494	2563	2615
495	2568	2610
496	2573	2605
497	2579	2600
498	2584	2595
499	2590	2590
500	2595	2585
501	2600	2580
502	2605	2574
503	2611	2569
504	2616	2565
505	2622	2559
506	2628	2555
507	2632	2550
508	2638	2544
509	2644	2540
510	2649	2535
511	2654	2530
512	2660	2525
513	2665	2520
514	2670	2514
515	2676	2510
516	2681	2505
517	2686	2499
518	2692	2495
519	2697	2490
520	2702	2484
521	2708	2480
522	2713	2474
523	2718	2469
524	2723	2464
525	2728	2458
526	2733	2453
527	2738	2448
528	2743	2442
529	2748	2437
530	2753	2431
531	2758	2427
532	2763	2421
533	2769	2416
534	2774	2411
535	2779	2406
536	2784	2401
537	2790	2396
538	2795	2390
539	2800	2385
540	2805	2380
541	2810	2375
542	2816	2370
543	2822	2365
544	2827	2360
545	2832	2355
546	2837	2350
547	2842	2344
548	2847	2339
549	2852	2334
550	2857	2328
551	2862	2323
552	2868	2318
553	2873	2313
554	2878	2307
555	2883	2302
556	2888	2297
557	2893	2292
558	2898	2286
559	2904	2282
560	2910	2277
561	2915	2272
562	2921	2267
563	2926	2262
564	2931	2256
565	2936	2251
566	2941	2246
567	2947	2241
568	2952	2236
569	2957	2230
570	2962	2225
571	2967	2220
572	2973	2215
573	2977	2210
574	2983	2205
575	2988	2200
576	2994	2194
577	2999	2190
578	3004	2184
579	3010	2179
580	3015	2174
581	3021	2169
582	3026	2164
583	3031	2159
584	3036	2154
585	3041	2148
586	3046	2143
587	3052	2138
588	3057	2133
589	3062	2128
590	3067	2123
591	3073	2117
592	3077	2112
593	3083	2107
594	3088	2102
595	3093	2096
596	3099	2092
597	3104	2086
598	3109	2081
599	3115	2076
600	3120	2071
601	3125	2066
602	3131	2061
603	3136	2056
604	3141	2050
605	3146	2045
606	3151	2040
607	3157	2035
608	3162	2030
609	3167	2025
610	3172	2020
611	3178	2015
612	3184	2010
613	3190	2005
614	3196	2000
615	3201	1995
616	3206	1990
617	3211	1985
618	3217	1980
619	3222	1975
620	3227	1970
621	3232	1964
622	3238	1959
623	3243	1954
624	3248	1949
625	3253	1943
626	3259	1938
627	3264	1933
628	3269	1928
629	3275	1923
630	3279	1918
631	3284	1912
632	3290	1907
633	3295	1902
634	3300	1896
635	3305	1891
636	3310	1886
637	3315	1881
638	3321	1876
639	3326	1871
640	3330	1865
641	3335	1860
642	3341	1855
643	3346	1850
644	3351	1844
645	3356	1839
646	3361	1834
647	3366	1828
648	3372	1823
649	3377	1818
650	3382	1813
651	3387	1808
652	3392	1802
653	3398	1797
654	3403	1792
655	3408	1787
656	3414	1782
657	3420	1777
658	3424	1772
659	3429	1766
660	3434	1761
661	3440	1756
662	3445	1751
663	3450	1746
664	3455	1740
665	3461	1735
666	3466	1730
667	3471	1725
668	3476	1719
669	3481	1714
670	3486	1709
671	3491	1704
672	3496	1698
673	3502	1694
674	3507	1688
675	3513	1683
676	3518	1678
677	3524	1673
678	3531	1669
679	3537	1664
680	3542	1659
681	3548	1654
682	3553	1649
683	3558	1644
684	3564	1639
685	3569	1633
686	3574	1628
687	3579	1623
688	3585	1618
689	3590	1613
690	3596	1608
691	3601	1602
692	3606	1597
693	3612	1592
694	3618	1587
695	3624	1582
696	3630	1578
697	3635	1572
698	3640	1567
699	3646	1562
700	3651	1557
701	3656	1552
702	3662	1547
703	3668	1542
704	3673	1537
705	3679	1532
706	3685	1527
707	3690	1522
708	3696	1517
709	3702	1512
710	3707	1506
711	3713	1502
712	3718	1496
713	3724	1491
714	3730	1486
715	3735	1481
716	3741	1476
717	3747	1471
718	3752	1466
719	3758	1461
720	3763	1456
721	3769	1451
722	3775	1446
723	3781	1441
724	3786	1436
725	3792	1431
726	3797	1426
727	3802	1420
728	3808	1415
729	3814	1410
730	3819	1405
731	3825	1400
732	3830	1395
733	3836	1390
734	3842	1385
735	3847	1380
736	3853	1374
737	3858	1369
738	3864	1364
739	3869	1359
740	3875	1354
741	3880	1349
742	3885	1343
743	3890	1338
744	3896	1333
745	3901	1328
746	3907	1323
747	3912	1318
748	3917	1312
749	3923	1307
750	3929	1302
751	3934	1297
752	3941	1292
753	3947	1287
754	3952	1282
755	3958	1277
756	3963	1272
757	3969	1267
758	3974	1261
759	3979	1256
760	3985	1251
761	3990	1246
762	3996	1241
763	4001	1236
764	4006	1230
765	4012	1225
766	4018	1220
767	4023	1215
768	4028	1210
769	4034	1205
770	4039	1199
771	4045	1194
772	4050	1189
773	4055	1184
774	4061	1179
775	4066	1173
776	4071	1168
777	4077	1163
778	4082	1158
779	4087	1153
780	4093	1147
781	4098	1142
782	4104	1137
783	4109	1132
784	4114	1126
785	4119	1121
786	4124	1116
787	4129	1110
788	4134	1105
789	4139	1100
790	4145	1095
791	4151	1090
792	4156	1084
793	4161	1079
794	4166	1074
795	4172	1069
796	4177	1064
797	4182	1058
798	4187	1053
799	4193	1048
800	4198	1043
801	4203	1037
802	4208	1032
803	4214	1027
804	4219	1022
805	4224	1016
806	4230	1011
807	4235	1006
808	4241	1001
809	4246	996
810	4251	990
811	4257	985
812	4262	980
813	4268	975
814	4273	969
815	4278	964
816	4283	959
817	4288	954
818	4293	948
819	4299	943
820	4303	938
821	4308	933
822	4314	927
823	4319	922
824	4324	917
825	4329	912
826	4335	906
827	4340	901
828	4345	896
829	4351	891
830	4355	885
831	4361	880
832	4366	875
833	4371	870
834	4376	864
835	4382	859
836	4386	854
837	4392	849
838	4397	843
839	4402	838
840	4407	833
841	4412	828
842	4417	822
843	4423	817
844	4428	812
845	4433	807
846	4438	801
847	4444	796
848	4449	791
849	4455	786
850	4460	781
851	4465	775
852	4470	770
853	4476	765
854	4480	759
855	4485	754
856	4490	749
857	4495	744
858	4500	738
859	4506	733
860	4511	728
861	4516	722
862	4521	717
863	4526	712
864	4531	707
865	4536	702
866	4542	696
867	4547	691
868	4552	686
869	4557	681
870	4563	675
871	4568	670
872	4574	665
873	4579	660
874	4584	654
875	4589	649
876	4594	644
877	4600	639
878	4605	633
879	4610	628
880	4615	623
881	4620	618
882	4625	612
883	4630	607
884	4636	602
885	4641	597
886	4646	591
887	4652	586
888	4657	581
889	4663	576
890	4668	571
891	4673	565
892	4678	560
893	4684	555
894	4689	550
895	4694	544
896	4699	539
897	4704	534
898	4710	529
899	4715	523
900	4720	518
901	4725	513
902	4731	508
903	4736	502
904	4741	497
905	4746	492
906	4751	487
907	4756	481
908	4762	476
909	4767	471
910	4772	466
911	4777	460
912	4783	455
913	4788	450
914	4792	445
915	4798	440
916	4803	434
917	4808	429
918	4813	424
919	4818	419
920	4823	413
921	4829	408
922	4834	403
923	4839	398
924	4844	392
925	4849	387
926	4854	382
927	4859	377
928	4865	371
929	4870	366
930	4875	361
931	4880	356
932	4885	350
933	4890	345
934	4895	340
935	4900	335
936	4905	329
937	4911	324
938	4916	319
939	4921	314
940	4926	308
941	4931	303
942	4936	298
943	4941	293
944	4946	287
945	4952	282
946	4957	277
947	4962	272
948	4967	266
949	4972	261
950	4978	256
951	4982	251
952	4988	246
953	4993	240
954	4998	235
955	5003	230
956	5008	225
957	5013	219
958	5018	214
959	5024	209
960	5029	204
961	5034	198
962	5039	193
963	5045	188
964	5049	183
965	5055	177
966	5060	172
967	5065	167
968	5070	162
969	5075	156
970	5081	151
971	5086	146
972	5091	141
973	5097	136
974	5102	130
975	5107	125
976	5112	120
977	5118	115
978	5123	109
979	5128	104
980	5133	99
981	5139	94
982	5144	88
983	5149	83
984	5154	78
985	5159	73
986	5164	68
987	5170	62
988	5176	57
989	5181	52
990	5187	47
991	5192	41
992	5197	36
993	5203	31
994	5208	26
995	5213	20
996	5219	15
997	5224	10
998	5229	5
999	5234	0
